DateTime,Entries,UniqueIPs
1471380308,294222,303819
1471380607,294221,303818
1471381208,294219,303816
1471381508,294217,303814
1471381808,294214,303811
1471382107,294211,303808
1471382407,294208,303805
1471382708,294207,303804
1471383009,294205,303802
1471411508,294205,303801
1471413608,294204,303800
1471432807,294203,303799
1471439707,294202,303798
1471443608,294201,303797
1471453508,294200,303796
1471465208,294198,303794
1471470608,294197,303793
1471471508,294196,303792
1471498207,294195,303791
1471522208,294194,303790
1471536008,294193,303789
1471545608,294192,303788
1471547107,294190,303786
1471601408,294189,303785
1471627208,294188,303784
1471704308,294189,303785
1471704608,294190,303786
1471713608,294189,303785
1471716308,294188,303784
1471735807,294187,303783
1471736107,294186,303782
1471738209,294184,303780
1471748708,294183,303779
1471763408,294182,303778
1471766708,294181,303777
1471773909,294180,303776
1471782309,294176,303772
1471789808,294188,303784
1471797307,294187,303783
1471806308,294186,303782
1471809008,294185,303781
1471810207,294184,303780
1471810808,294180,303776
1471814107,294179,303775
1471856107,294177,303773
1471856408,294173,303769
1471856708,294172,303768
1471857009,294171,303767
1471880708,294170,303766
1471882809,294169,303765
1471883408,294180,303776
1471893308,294179,303775
1471893908,294178,303774
1471935608,294177,303773
1471954508,294176,303772
1471959007,294175,303771
1471959908,294174,303770
1471969208,294173,303769
1471978208,294172,303768
1471982408,294171,303767
1472027108,294170,303766
1472054708,294169,303765
1472058908,294168,303764
1472062808,294166,303762
1472066708,294165,303761
1472106907,294162,303758
1472107208,294160,303756
1472107508,294159,303755
1472129408,294158,303754
1472154008,294157,303753
1472159109,294156,303752
1472161508,294155,303751
1472163308,294154,303750
1472166908,294153,303749
1472168108,294152,303748
1472196608,294151,303747
1472214308,294150,303746
1472215809,294149,303745
1472247308,294169,303765
1472247608,294272,303869
1472248207,294301,303899
1472248507,294331,303929
1472253608,294330,303928
1472271008,294329,303927
1472288708,294328,303926
1472293208,294327,303925
1472295608,294326,303924
1472303109,294325,303923
1472304907,294325,303922
1472307008,294324,303921
1472309108,294323,303920
1472322008,294330,303927
1472323808,294336,303933
1472324107,294335,303932
1472324408,294336,303933
1472324708,294338,303935
1472325010,294344,303941
1472325308,294348,303945
1472326508,294405,304002
1472327408,294406,304003
1472327707,294413,304010
1472328308,294412,304009
1472329508,294411,304008
1472344807,294410,304007
1472360107,294409,304006
1472410808,294408,304005
1472412908,294407,304004
1472413207,294400,303995
1472413508,294399,303994
1472417408,294398,303993
1472424309,294397,303992
1472459408,294396,303991
1472460907,294395,303990
1472480408,294394,303989
1472483108,294393,303988
1472523608,294392,303987
1472535608,294390,303985
1472549407,294389,303984
1472556007,294388,303983
1472560808,294387,303982
1472568007,294386,303981
1472571607,294385,303980
1472584807,294384,303979
1472588408,294383,303978
1472588709,294382,303977
1472589308,294381,303976
1472589607,294380,303975
1472589915,294379,303974
1472590808,294378,303973
1472629208,294377,303972
1472642107,294376,303971
1472642408,294375,303970
1472643308,294374,303969
1472645108,294373,303968
1472649307,294372,303967
1472650207,294371,303966
1472659516,294370,303965
1472666108,294369,303964
1472666707,294368,303963
1472669707,294367,303962
1472673607,294366,303961
1472673908,294365,303960
1472695808,294364,303959
1472703010,294363,303958
1472714108,294362,303957
1472731207,294361,303956
1472737208,294360,303955
1472741708,294358,303953
1472742008,294355,303950
1472745008,294354,303949
1472748907,294353,303948
1472756407,294352,303947
1472759407,294351,303946
1472759707,294351,303945
1472779508,294350,303944
1472787908,294349,303943
1472790008,294348,303942
1472831409,294347,303941
1472837708,294346,303940
1472842508,294345,303939
1472884808,294344,303938
1472886007,294343,303937
1472918108,294342,303936
1472918408,294361,303955
1472919007,294360,303954
1472920808,294357,303951
1472921108,294354,303948
1472921407,294351,303945
1472921708,294350,303944
1472924107,294349,303943
1472931308,294348,303942
1472931908,294347,303941
1472941807,294345,303939
1472948408,294344,303938
1472949007,294343,303937
1472972107,294342,303936
1472973008,294340,303934
1472973608,294337,303931
1472973908,294336,303930
1472980508,294335,303929
1472983208,294334,303928
1473003308,294334,303927
1473003908,294333,303926
1473006307,294332,303925
1473007507,294331,303924
1473011408,294330,303923
1473015308,294329,303922
1473030008,294328,303921
1473032408,294327,303920
1473066008,294326,303919
1473077109,294325,303918
1473086408,294324,303917
1473108908,294323,303916
1473109207,294322,303915
1473110108,294342,303935
1473139509,294339,303932
1473140108,294338,303931
1473155407,294337,303930
1473163207,294336,303929
1473167408,294335,303928
1473171008,294334,303926
1473193807,294333,303925
1473194409,294332,303924
1473220207,294331,303923
1473222907,294330,303922
1473240008,294329,303921
1473246008,294329,303920
1473251408,294326,303917
1473251707,294323,303914
1473252008,294320,303911
1473252309,294315,303906
1473252608,294314,303905
1473264008,294313,303904
1473277208,294312,303903
1473284108,294311,303902
1473325508,294310,303901
1473339608,294309,303900
1473352808,294308,303899
1473359708,294307,303898
1473366908,294306,303897
1473369307,294305,303896
1473389408,294304,303895
1473396607,294303,303894
1473432008,294302,303893
1473451814,294301,303892
1473489308,294300,303891
1473506708,294300,303890
1473534608,294299,303889
1473579908,294298,303888
1473581708,294297,303887
1473632408,294296,303886
1473633607,294295,303885
1473657608,294294,303884
1473663608,294293,303883
1473663908,294291,303881
1473674107,294290,303880
1473682808,294289,303879
1473691507,294288,303878
1473694508,294287,303877
1473708308,294286,303876
1473709209,294284,303874
1473709509,294283,303873
1473709807,294282,303872
1473710108,294279,303869
1473710409,294276,303866
1473710708,294275,303865
1473711009,294273,303863
1473724207,294272,303862
1473774308,294271,303861
1473777909,294270,303860
1473790208,294269,303859
1473790508,294267,303857
1473790808,294265,303855
1473791108,294264,303854
1473791408,294263,303853
1473792309,294261,303851
1473793208,294260,303850
1473799807,294259,303849
1473808808,294258,303848
1473820808,294257,303847
1473872107,294256,303846
1473894607,294255,303845
1473905408,294254,303844
1473919508,294253,303843
1474006507,294252,303842
1474010108,294251,303841
1474051208,294376,303968
1474053309,294378,303970
1474062608,294377,303969
1474064108,294377,303968
1474068008,294376,303967
1474074908,294375,303966
1474079408,294374,303965
1474108214,294373,303964
1474192508,294372,303963
1474195809,294371,303962
1474196408,294370,303961
1474197007,294369,303960
1474202708,294368,303959
1474203007,294367,303958
1474204208,294366,303957
1474205108,294364,303955
1474205408,294362,303953
1474205708,294361,303952
1474206308,294360,303951
1474206609,294357,303948
1474206908,294356,303947
1474207208,294355,303946
1474208409,294354,303945
1474209008,294353,303944
1474209608,294352,303943
1474209908,294351,303942
1474210809,294348,303939
1474214408,294345,303935
1474215008,294341,303931
1474248308,294340,303930
1474257008,294339,303929
1474302008,294338,303928
1474302608,294337,303927
1474303209,294336,303926
1474304708,294335,303925
1474305907,294350,303940
1474306208,294354,303944
1474307707,294361,303951
1474308608,294360,303950
1474329909,294359,303949
1474425908,294358,303948
1474437007,294357,303947
1474439108,294356,303946
1474449008,294355,303945
1474450508,294355,303944
1474459508,294355,303943
1474481708,294354,303942
1474514408,294353,303941
1474533908,294352,303940
1474542908,294351,303939
1474544108,294350,303938
1474553708,294349,303937
1474573209,294348,303936
1474578008,294347,303935
1474578308,294346,303934
1474578608,294345,303933
1474593908,294344,303932
1474621509,294343,303931
1474621808,294339,303927
1474622108,294337,303925
1474629008,294336,303924
1474641008,294335,303923
1474646408,294334,303922
1474663508,294333,303921
1474672208,294332,303920
1474673408,294331,303919
1474719608,294330,303918
1474722908,294329,303917
