DateTime,AddedIPs,RemovedIPs
1471364408,0,1
1471365307,0,1
1471373707,0,3
1471374308,0,1
1471380308,0,2
1471380607,0,1
1471381208,0,2
1471381508,0,2
1471381808,0,3
1471382107,0,3
1471382407,0,3
1471382708,0,1
1471383009,0,2
1471411508,0,1
1471413608,0,1
1471432807,0,1
1471439707,0,1
1471443608,0,1
1471453508,0,1
1471465208,0,2
1471470608,0,1
1471471508,0,1
1471498207,0,1
1471522208,0,1
1471536008,0,1
1471545608,0,1
1471547107,0,2
1471601408,0,1
1471627208,0,1
1471704308,1,0
1471704608,1,0
1471713608,0,1
1471716308,0,1
1471735807,0,1
1471736107,0,1
1471738209,0,2
1471748708,0,1
1471763408,0,1
1471766708,0,1
1471773909,0,1
1471782309,0,4
1471789808,12,0
1471797307,0,1
1471806308,0,1
1471809008,0,1
1471810207,0,1
1471810808,0,4
1471814107,0,1
1471856107,0,2
1471856408,0,4
1471856708,0,1
1471857009,0,1
1471880708,0,1
1471882809,0,1
1471883408,11,0
1471893308,0,1
1471893908,0,1
1471935608,0,1
1471954508,0,1
1471959007,0,1
1471959908,0,1
1471969208,0,1
1471978208,0,1
1471982408,0,1
1472027108,0,1
1472054708,0,1
1472058908,0,1
1472062808,0,2
1472066708,0,1
1472106907,0,3
1472107208,0,2
1472107508,0,1
1472129408,0,1
1472154008,0,1
1472159109,0,1
1472161508,0,1
1472163308,0,1
1472166908,0,1
1472168108,0,1
1472196608,0,1
1472214308,0,1
1472215809,0,1
1472247308,20,0
1472247608,104,0
1472248207,30,0
1472248507,30,0
1472253608,0,1
1472271008,0,1
1472288708,0,1
1472293208,0,1
1472295608,0,1
1472303109,0,1
1472304907,0,1
1472307008,0,1
1472309108,0,1
1472322008,7,0
1472323808,6,0
1472324107,0,1
1472324408,1,0
1472324708,2,0
1472325010,6,0
1472325308,4,0
1472326508,57,0
1472327408,1,0
1472327707,7,0
1472328308,0,1
1472329508,0,1
1472344807,0,1
1472360107,0,1
1472410808,0,1
1472412908,0,1
1472413207,0,9
1472413508,0,1
1472417408,0,1
1472424309,0,1
1472459408,0,1
1472460907,0,1
1472480408,0,1
1472483108,0,1
1472523608,0,1
1472535608,0,2
1472549407,0,1
1472556007,0,1
1472560808,0,1
1472568007,0,1
1472571607,0,1
1472584807,0,1
1472588408,0,1
1472588709,0,1
1472589308,0,1
1472589607,0,1
1472589915,0,1
1472590808,0,1
1472629208,0,1
1472642107,0,1
1472642408,0,1
1472643308,0,1
1472645108,0,1
1472649307,0,1
1472650207,0,1
1472659516,0,1
1472666108,0,1
1472666707,0,1
1472669707,0,1
1472673607,0,1
1472673908,0,1
1472695808,0,1
1472703010,0,1
1472714108,0,1
1472731207,0,1
1472737208,0,1
1472741708,0,2
1472742008,0,3
1472745008,0,1
1472748907,0,1
1472756407,0,1
1472759407,0,1
1472759707,0,1
1472779508,0,1
1472787908,0,1
1472790008,0,1
1472831409,0,1
1472837708,0,1
1472842508,0,1
1472884808,0,1
1472886007,0,1
1472918108,0,1
1472918408,19,0
1472919007,0,1
1472920808,0,3
1472921108,0,3
